label_a,label_b,correlation
confusion,excitement,-0.021212580788416494
approval,remorse,-0.0215389624153013
sadness,surprise,-0.021557585665457655
annoyance,remorse,-0.02170595798764223
love,remorse,-0.021800900485322523
desire,gratitude,-0.02201278440026512
annoyance,desire,-0.022184231587474627
fear,love,-0.022264788440422515
excitement,sadness,-0.02235240312728309
amusement,excitement,-0.02267464907040971
curiosity,disgust,-0.02297157378847033
anger,sadness,-0.023002688361301746
anger,surprise,-0.02302021574581117
disgust,joy,-0.023147465181698558
disappointment,optimism,-0.023176190684738373
caring,surprise,-0.02328336972322127
joy,sadness,-0.023311581249338634
amusement,disgust,-0.023655507816187797
desire,disapproval,-0.023764012638268706
disapproval,fear,-0.023765796592826335
love,realization,-0.024538005442232842
admiration,embarrassment,-0.02464936793438408
admiration,surprise,-0.02508656663166768
annoyance,realization,-0.025113475775410597
approval,fear,-0.02542844272932322
anger,caring,-0.0255569399161468
amusement,fear,-0.025585479467385513
gratitude,surprise,-0.025991846195451394
caring,confusion,-0.026045166101865514
disapproval,sadness,-0.026056612862657997
caring,disapproval,-0.02611567124159282
disgust,love,-0.02630922103161442
grief,neutral,-0.0265761940158644
amusement,confusion,-0.026687488091505108
amusement,love,-0.026775323905428354
approval,joy,-0.026804117734597163
confusion,disapproval,-0.026835393088865987
anger,realization,-0.026906161089261384
confusion,joy,-0.026917588034428827
curiosity,sadness,-0.02701382925523896
anger,excitement,-0.027218983057770072
caring,gratitude,-0.0274179381828868
amusement,gratitude,-0.027480209306448868
confusion,sadness,-0.027585146827859355
disappointment,joy,-0.027672751183872975
annoyance,sadness,-0.027807382755179813
caring,curiosity,-0.02793044204676204
amusement,surprise,-0.028614979394531653
amusement,optimism,-0.02863963034166681
annoyance,confusion,-0.028676198598453193
curiosity,disappointment,-0.0288097067409375
anger,confusion,-0.02881354047619521
admiration,fear,-0.028951086465340947
fear,gratitude,-0.0294649295084567
disapproval,excitement,-0.029537954080157813
confusion,optimism,-0.029550926906504453
love,sadness,-0.02956376978944632
approval,disgust,-0.029665384459556257
love,surprise,-0.02978240451390186
admiration,remorse,-0.03035851486489663
pride,neutral,-0.03036635811928302
disapproval,optimism,-0.03050092254283445
annoyance,caring,-0.03104340349869224
curiosity,optimism,-0.031164789600268267
amusement,sadness,-0.03160781823286123
disapproval,surprise,-0.032063414272463724
admiration,realization,-0.032187243323009616
annoyance,excitement,-0.0322632158576351
gratitude,love,-0.032336355318613744
disappointment,love,-0.03251944075444703
amusement,caring,-0.03253834239761978
disgust,gratitude,-0.03268328456982216
amusement,curiosity,-0.032781555391307754
annoyance,surprise,-0.03331659097320804
anger,optimism,-0.0334142965269585
anger,joy,-0.033487264907792774
curiosity,joy,-0.03387313789128297
approval,surprise,-0.03427365053920232
confusion,love,-0.03430308216207975
confusion,gratitude,-0.03442942074187155
approval,disappointment,-0.03461989083446825
amusement,disappointment,-0.034817921729998175
relief,neutral,-0.03505104605740061
approval,love,-0.03513693892409011
annoyance,curiosity,-0.03575791886441739
admiration,caring,-0.036012732767064674
gratitude,sadness,-0.03626962999818922
nervousness,neutral,-0.03630000153257789
annoyance,optimism,-0.03633737487097333
anger,curiosity,-0.03635244191263087
anger,love,-0.03671379403242583
curiosity,disapproval,-0.037485299855264886
disapproval,joy,-0.03781689871908803
admiration,disgust,-0.03800930739172057
amusement,anger,-0.038484842713269025
approval,confusion,-0.03883709576971893
curiosity,love,-0.0390080776108901
disappointment,gratitude,-0.03917792154213105
amusement,approval,-0.039332696764217974
disapproval,love,-0.040524281608116344
amusement,annoyance,-0.041034718780734385
amusement,disapproval,-0.04187912451293471
annoyance,joy,-0.04266933070158575
approval,sadness,-0.04271344179418096
anger,gratitude,-0.0432837897524486
admiration,disappointment,-0.04397955985148483
approval,curiosity,-0.04495378186080883
curiosity,gratitude,-0.04657867832759675
admiration,confusion,-0.04700847032222273
approval,gratitude,-0.04735657781244786
admiration,amusement,-0.0480353050758436
anger,approval,-0.04834250493291368
annoyance,love,-0.04853172369298767
admiration,sadness,-0.0489589015223838
embarrassment,neutral,-0.05015828516360329
disapproval,gratitude,-0.050709380230899874
admiration,curiosity,-0.05111075277210716
approval,disapproval,-0.05208030372209002
annoyance,approval,-0.05343108621863966
annoyance,gratitude,-0.05538340083022291
admiration,anger,-0.06013282300886611
admiration,disapproval,-0.06622482391007822
admiration,annoyance,-0.07203378296235124
fear,neutral,-0.0743978980718394
desire,neutral,-0.07597901679194984
remorse,neutral,-0.07619121721463139
disgust,neutral,-0.08668033776466084
excitement,neutral,-0.08844255281300802
realization,neutral,-0.08963782669850343
caring,neutral,-0.09353468305792872
confusion,neutral,-0.09743924982995167
surprise,neutral,-0.10097084355414655
disappointment,neutral,-0.10207410886813395
sadness,neutral,-0.10787239105313695
anger,neutral,-0.11678597164582093
joy,neutral,-0.11703967076061204
optimism,neutral,-0.12308849677897953
disapproval,neutral,-0.13123309516318904
curiosity,neutral,-0.13127018231814927
annoyance,neutral,-0.14159730384865687
love,neutral,-0.1476712837157076
approval,neutral,-0.14816733048614783
amusement,neutral,-0.15204448121946462
gratitude,neutral,-0.17687293894278738
admiration,neutral,-0.20959215450430282
