,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
embarrassment,-0.02464936793438408,-0.011884916626763014,-0.008995352221688941,-0.009954860406668493,-0.020755476113695208,-0.010619607066358411,-0.01101805398587078,-0.00694716544041015,-0.010210882023362382,0.004045127179670625,-0.013416313771967866,0.0049295598534547635,1.0,-0.01011605759951236,-0.0024164541831618,-0.020551545377966603,0.001781588679281957,-0.014137896083276518,-0.017576982520166897,-0.0015747606707671841,-0.0055288916646587935,8.12869260021219e-05,0.004870442296028128,-0.0048393043732771895,0.004791179242789744,0.0049204396108855995,-0.007468493756101886,-0.05015828516360329
excitement,-0.004251679986718133,-0.02267464907040971,-0.027218983057770072,-0.0322632158576351,-0.02043725038547735,-0.020120036359377473,-0.021212580788416494,-0.0164016488476251,-0.0028029226837944367,-0.020402865398347885,-0.029537954080157813,-0.018405830676355046,-0.01011605759951236,1.0,-0.015668350004861893,-0.016262289032452252,-0.0059193686010069425,0.05499821779853035,-0.010019567045837355,-0.0087220965771541,-0.004501462734361344,0.0032624786772063328,-0.012550041440725,-0.001221621860236845,-0.014498268769393549,-0.02235240312728309,0.019202447663445563,-0.08844255281300802
fear,-0.028951086465340947,-0.025585479467385513,-0.018941915744214603,-0.019260352732093856,-0.02542844272932322,-0.012301337229792307,-0.013170455990558853,-0.01958690710742092,-0.013330396060147921,-0.01235035717370717,-0.023765796592826335,0.0020077845480093266,-0.0024164541831618,-0.015668350004861893,1.0,-0.0294649295084567,-0.005030858149303747,-0.01853181723403707,-0.022264788440422515,0.10143077071104095,-0.015716006954688905,-0.006121179471275401,-0.012368807499521737,-0.006932456999226646,-0.01051652665435616,-0.00356010170958124,-0.006803641815035193,-0.0743978980718394
gratitude,0.005929390301125001,-0.027480209306448868,-0.0432837897524486,-0.05538340083022291,-0.04735657781244786,-0.0274179381828868,-0.03442942074187155,-0.04657867832759675,-0.02201278440026512,-0.03917792154213105,-0.050709380230899874,-0.03268328456982216,-0.020551545377966603,-0.016262289032452252,-0.0294649295084567,1.0,-0.009020057222524433,-0.010238802703395715,-0.032336355318613744,-0.013496804136443835,-0.015808598371391563,0.0002627807634328761,-0.020777342332677706,-0.0004090451259100214,-0.01699902659973944,-0.03626962999818922,-0.025991846195451394,-0.17687293894278738
grief,-0.01059167980591275,-0.009994157297854552,-0.008149537465806695,-0.004675783432188976,-0.011366651753934264,0.001583297967874105,-0.007508697527386511,-0.00967653425812157,0.0021196166629849304,0.0057311946403918465,-0.009407897375880428,-0.005806482768629156,0.001781588679281957,-0.0059193686010069425,-0.005030858149303747,-0.009020057222524433,1.0,-0.0077642354623425145,-0.007336095224487412,0.004485162638024424,-0.008183985151538566,-0.002156400832758778,-0.006805693977142802,-0.002442201885494091,0.011192543134284074,0.06721753709508296,0.0018349590507476432,-0.0265761940158644
joy,-0.004767212571380559,0.006789637545008247,-0.033487264907792774,-0.04266933070158575,-0.026804117734597163,-0.013958493862291348,-0.026917588034428827,-0.03387313789128297,-0.015720762734709747,-0.027672751183872975,-0.03781689871908803,-0.023147465181698558,-0.014137896083276518,0.05499821779853035,-0.01853181723403707,-0.010238802703395715,-0.0077642354623425145,1.0,-0.0037599653529271776,-0.008096400537390401,-0.01379007212590482,0.006732318794606093,-0.016042530499640578,0.016106814798831463,-0.018732965947348645,-0.023311581249338634,-0.018543110378923252,-0.11703967076061204
love,-0.002120579856658795,-0.026775323905428354,-0.03671379403242583,-0.04853172369298767,-0.03513693892409011,-0.007320392571235054,-0.03430308216207975,-0.0390080776108901,-0.003611419254368271,-0.03251944075444703,-0.040524281608116344,-0.02630922103161442,-0.017576982520166897,-0.010019567045837355,-0.022264788440422515,-0.032336355318613744,-0.007336095224487412,-0.0037599653529271776,1.0,-0.009640903990963795,-0.018878617135878285,-0.01143519388245882,-0.024538005442232842,-0.00995290483006052,-0.021800900485322523,-0.02956376978944632,-0.02978240451390186,-0.1476712837157076
nervousness,-0.0179867407828731,-0.012072156284503888,-0.008811581759542329,-0.013964575666372391,-0.01319336132911726,0.0013841218344872218,-0.007613427065262392,-0.00879412712226215,-0.005119944890930574,0.0016517340490528783,-0.011060050762915621,-0.0019456170364213965,-0.0015747606707671841,-0.0087220965771541,0.10143077071104095,-0.013496804136443835,0.004485162638024424,-0.008096400537390401,-0.009640903990963795,1.0,-0.008874820954965699,-0.0031774227270081256,-0.0024560877544211393,0.001559629797664048,-0.00422795804855779,0.010097985930346038,-0.007904077483449913,-0.03630000153257789
optimism,-0.01767204625006122,-0.02863963034166681,-0.0334142965269585,-0.03633737487097333,-0.004403093557997551,0.03501232763613748,-0.029550926906504453,-0.031164789600268267,0.041467384140879,-0.023176190684738373,-0.03050092254283445,-0.015183049234496773,-0.0055288916646587935,-0.004501462734361344,-0.015716006954688905,-0.015808598371391563,-0.008183985151538566,-0.01379007212590482,-0.018878617135878285,-0.008874820954965699,1.0,0.013150607469928447,-0.008946027747278658,-0.004471057212532314,-0.001214097531740636,-0.01799451782365264,-0.019362376987458022,-0.12308849677897953
pride,0.01924230170974559,-0.0105550432631937,-0.00798252160495861,-0.009481633888466704,-0.0009294934945091593,-0.00825912507286489,-0.009136032819175145,-0.011773697666690305,-0.00626981783917958,-0.00887930226369623,-0.009752061036429728,-0.007064902660506549,8.12869260021219e-05,0.0032624786772063328,-0.006121179471275401,0.0002627807634328761,-0.002156400832758778,0.006732318794606093,-0.01143519388245882,-0.0031774227270081256,0.013150607469928447,1.0,-0.008280669624214096,-0.0029714922588833844,-0.00572290107529098,-0.00899991191171151,-0.005786543562242029,-0.03036635811928302
realization,-0.032187243323009616,-0.01599603974776659,-0.026906161089261384,-0.025113475775410597,-0.001349182366284656,-0.012668075753659653,-0.011239342529386966,-0.01733364198139505,-0.007178124392839456,-0.0030004760153741184,-0.017440769316381558,-0.011926232063379456,0.004870442296028128,-0.012550041440725,-0.012368807499521737,-0.020777342332677706,-0.006805693977142802,-0.016042530499640578,-0.024538005442232842,-0.0024560877544211393,-0.008946027747278658,-0.008280669624214096,1.0,-0.005331728931820912,-0.009581274547763042,-0.012618861794311449,0.0016089516333190979,-0.08963782669850343
relief,-0.01436807296405145,-0.009516849655770274,-0.007813432992806294,-0.008763189380641185,0.0008026055710000727,0.004843807432570879,-0.008502949897654578,-0.010414159233175397,-0.007100795323362729,-0.010056130753079014,-0.005476196930946344,-0.005646310167504676,-0.0048393043732771895,-0.001221621860236845,-0.006932456999226646,-0.0004090451259100214,-0.002442201885494091,0.016106814798831463,-0.00995290483006052,0.001559629797664048,-0.004471057212532314,-0.0029714922588833844,-0.005331728931820912,1.0,-0.006481392320133281,-0.01019272553885226,-0.009195511746315877,-0.03505104605740061
remorse,-0.03035851486489663,-0.017606124500384256,-0.018048015990278138,-0.02170595798764223,-0.0215389624153013,0.005364242559028387,-0.01413068595943005,-0.011911470503589476,-0.010906027559556587,-0.0024973321115710546,-0.019475283246950068,-0.009240570606411085,0.004791179242789744,-0.014498268769393549,-0.01051652665435616,-0.01699902659973944,0.011192543134284074,-0.018732965947348645,-0.021800900485322523,-0.00422795804855779,-0.001214097531740636,-0.00572290107529098,-0.009581274547763042,-0.006481392320133281,1.0,0.04993829186856289,-0.01662990901948282,-0.07619121721463139
sadness,-0.0489589015223838,-0.03160781823286123,-0.023002688361301746,-0.027807382755179813,-0.04271344179418096,-0.004249705605075433,-0.027585146827859355,-0.02701382925523896,-0.006264701905590668,0.07426779696445293,-0.026056612862657997,-0.013848827723942143,0.0049204396108855995,-0.02235240312728309,-0.00356010170958124,-0.03626962999818922,0.06721753709508296,-0.023311581249338634,-0.02956376978944632,0.010097985930346038,-0.01799451782365264,-0.00899991191171151,-0.012618861794311449,-0.01019272553885226,0.04993829186856289,1.0,-0.021557585665457655,-0.10787239105313695
surprise,-0.02508656663166768,-0.028614979394531653,-0.02302021574581117,-0.03331659097320804,-0.03427365053920232,-0.02328336972322127,-0.008967006553458287,0.001232971446123325,-0.017425893227616437,-0.016146603375974372,-0.032063414272463724,-0.018340716643579634,-0.007468493756101886,0.019202447663445563,-0.006803641815035193,-0.025991846195451394,0.0018349590507476432,-0.018543110378923252,-0.02978240451390186,-0.007904077483449913,-0.019362376987458022,-0.005786543562242029,0.0016089516333190979,-0.009195511746315877,-0.01662990901948282,-0.021557585665457655,1.0,-0.10097084355414655
neutral,-0.20959215450430282,-0.15204448121946462,-0.11678597164582093,-0.14159730384865687,-0.14816733048614783,-0.09353468305792872,-0.09743924982995167,-0.13127018231814927,-0.07597901679194984,-0.10207410886813395,-0.13123309516318904,-0.08668033776466084,-0.05015828516360329,-0.08844255281300802,-0.0743978980718394,-0.17687293894278738,-0.0265761940158644,-0.11703967076061204,-0.1476712837157076,-0.03630000153257789,-0.12308849677897953,-0.03036635811928302,-0.08963782669850343,-0.03505104605740061,-0.07619121721463139,-0.10787239105313695,-0.10097084355414655,1.0
